ID,TITULACION,SUSRED
1000,2.00,2.37
1001,2.10,2.24
1002,2.20,2.12
1003,2.30,2.03
1004,2.40,1.95
1005,2.50,1.87
1006,2.60,1.8
1007,2.70,1.73
1008,2.80,1.67
1009,2.90,1.61
1010,3.00,1.56
1011,3.10,1.52
1012,3.20,1.47
1013,3.30,1.43
1014,3.40,1.39
1015,3.50,1.35
1016,3.60,1.31
1017,3.70,1.27
1018,3.80,1.24
1019,3.90,1.21
1020,4.00,1.17
1021,4.10,1.14
1022,4.20,1.11
1023,4.30,1.08
1024,4.40,1.05
1025,4.50,1.03
1026,4.60,1.01
1027,4.70,0.99
1028,4.80,0.97
1029,4.90,0.95
1030,5.00,0.93
1031,5.10,0.91
1032,5.20,0.9
1033,5.30,0.88
1034,5.40,0.86
1035,5.50,0.85
1036,5.60,0.84
1037,5.70,0.82
1038,5.80,0.8
1039,5.90,0.79
1040,6.00,0.78
1041,6.10,0.76
1042,6.20,0.75
1043,6.30,0.74
1044,6.40,0.73
1045,6.50,0.72
1046,6.60,0.71
1047,6.70,0.7
1048,6.80,0.69
1049,6.90,0.68
1050,7.00,0.67
1051,7.10,0.66
1052,7.20,0.65
1053,7.30,0.64
1054,7.40,0.63
1055,7.50,0.63
1056,7.60,0.62
1057,7.70,0.61
1058,7.80,0.6
1059,7.90,0.6
1060,8.00,0.59
1061,8.10,0.58
1062,8.20,0.57
1063,8.30,0.56
1064,8.40,0.56
1065,8.50,0.55
1066,8.60,0.54
1067,8.70,0.54
1068,8.80,0.53
1069,8.90,0.53
1070,9.00,0.52
1071,9.10,0.51
1072,9.20,0.51
1073,9.30,0.5
1074,9.40,0.5
1075,9.50,0.49
1076,9.60,0.49
1077,9.70,0.48
1078,9.80,0.48
1079,9.90,0.47
1080,10.00,0.47
1081,10.10,0.46
1082,10.20,0.46
1083,10.30,0.45
1084,10.40,0.45
1085,10.50,0.44
1086,10.60,0.44
1087,10.70,0.43
1088,10.80,0.43
1089,10.90,0.43
1090,11.00,0.42
1091,11.10,0.42
1092,11.20,0.42
1093,11.30,0.41
1094,11.40,0.41
1095,11.50,0.41
1096,11.60,0.4
1097,11.70,0.4
1098,11.80,0.4
1099,11.90,0.39
1100,12.00,0.39
1101,12.10,0.39
1102,12.20,0.38
1103,12.30,0.38
1104,12.40,0.38
1105,12.50,0.37
1106,12.60,0.37
1107,12.70,0.37
1108,12.80,0.37
1109,12.90,0.36
1110,13.00,0.36
1111,13.10,0.36
1112,13.20,0.35
1113,13.30,0.35
1114,13.40,0.35
1115,13.50,0.35
1116,13.60,0.34
1117,13.70,0.34
1118,13.80,0.34
1119,13.90,0.34
1120,14.00,0.33
1121,14.10,0.33
1122,14.20,0.33
1123,14.30,0.33
1124,14.40,0.32
1125,14.50,0.32
1126,14.60,0.32
1127,14.70,0.32
1128,14.80,0.32
1129,14.90,0.31
1130,15.00,0.31
1131,15.10,0.31
1132,15.20,0.31
1133,15.30,0.31
1134,15.40,0.3
1135,15.50,0.3
1136,15.60,0.3
1137,15.70,0.3
1138,15.80,0.3
1139,15.90,0.29
1140,16.00,0.29
1141,16.10,0.29
1142,16.20,0.29
1143,16.30,0.29
1144,16.40,0.29
1145,16.50,0.28
1146,16.60,0.28
1147,16.70,0.28
1148,16.80,0.28
1149,16.90,0.28
1150,17.00,0.28
1151,17.10,0.27
1152,17.20,0.27
1153,17.30,0.27
1154,17.40,0.27
1155,17.50,0.27
1156,17.60,0.27
1157,17.70,0.26
1158,17.80,0.26
1159,17.90,0.26
1160,18.00,0.26
1161,18.10,0.26
1162,18.20,0.26
1163,18.30,0.26
1164,18.40,0.25
1165,18.50,0.25
1166,18.60,0.25
1167,18.70,0.25
1168,18.80,0.25
1169,18.90,0.25
1170,19.00,0.25
1171,19.10,0.25
1172,19.20,0.24
1173,19.30,0.24
1174,19.40,0.24
1175,19.50,0.24
1176,19.60,0.24
1177,19.70,0.24
1178,19.80,0.24
1179,19.90,0.24
1180,20.00,0.23
1181,20.10,0.23
1182,20.20,0.23
1183,20.30,0.23
1184,20.40,0.23
1185,20.50,0.23
1186,20.60,0.23
1187,20.70,0.23
1188,20.80,0.22
1189,20.90,0.22
