ID,HORA,JCBRI,JCPOL,JDBRI,JDPOL,JEBRI,JEPOL,JFBRI,JFPOL,JNBRI,JNPOL,JRBRI,JRPOL,JUGO_ID
ff8080816f9c8ef1016f9cd2e5ae0004,2019-08-03 06:00:00.000000,14.41,52.27,0.00,0.00,18.72,69.85,0.00,0.00,14.71,52.98,6.13,19.92,ff8080816f9ae57c016f9aec296d0000
ff8080816f9c8ef1016f9cdb2c120005,2019-08-03 08:00:00.000000,0,0,12.86,44.60,19.47,72.80,0,0,0,0,0,0,ff8080816f9ae57c016f9aec296d0000
ff8080816f9c8ef1016f9cdcf8bb0006,2019-08-03 12:00:00.000000,0,0,12.50,44.30,0,0,13.32,4.83,14.65,52.70,0,0,ff8080816f9ae57c016f9aec296d0000
ff8080816f9c8ef1016f9cdef3ae0007,2019-08-03 14:00:00.000000,14.31,52.15,12.60,44.55,18.60,69.50,13.57,40.91,14.70,52.95,0,0,ff8080816f9ae57c016f9aec296d0000
ff8080816f9c8ef1016f9cdfced00008,2019-08-03 16:00:00.000000,14.40,52.25,0,0,0,0,0,0,14.58,52.90,0,0,ff8080816f9ae57c016f9aec296d0000
ff8080816f9c8ef1016f9ce14e7b0009,2019-08-03 18:00:00.000000,14.41,52.20,12.80,44.55,19.40,72.80,0,0,14.60,52.65,6.12,19.90,ff8080816f9ae57c016f9aec296d0000
ff8080816f9c8ef1016f9ce2950e000a,2019-08-03 20:00:00.000000,17.39,63.01,0,0,19.50,79.30,0,0,17.44,63.11,10.02,32.98,ff8080816f9ae57c016f9aec296d0000
ff8080816f9c8ef1016f9ce33904000b,2019-08-03 22:00:00.000000,0,0,14.84,52.00,0,0,0,0,0,0,0,0,ff8080816f9ae57c016f9aec296d0000
ff8080816f9c8ef1016f9ce3e0b4000c,2019-08-04 00:00:00.000000,0,0,17.31,62.08,0,0,0,0,0,0,0,0,ff8080816f9ae57c016f9aec296d0000
ff8080816f9c8ef1016f9ce5bb0a000d,2019-08-04 02:00:00.000000,17.04,60.37,16.73,58.88,19.99,71.61,0,0,16.65,58.72,9.22,30.23,ff8080816f9ae57c016f9aec296d0000
