ID,CALPORCCANAINFECTADA,CALPORCCANASECA,CALPORCCEPA,CALPORCCOGOLLOS,CALPORCHOJAS,CALPORCOTROS,CALPORCSUELO,CALPORCTRASH,CALTRASHCANA,CANAINFECTADA,CANASECA,CANTIDADCANA,CEPA,COGOLLOS,HOJAS,HORA,NETACANA,OTROS,SUELO,MODULO_ID,TRASH_ID,TURNO_ID,VARIEDAD_ID
ff80808171ce71c50171ce72757b0001,0.00,0.00,0.00,5.42,2.50,0.00,0.00,7.920,1.900,0,0.00,24.00,0.00,1.30,0.60,2019-08-03 06:00:00.000000,22.10,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce72757c0002,0.00,0.00,0.49,6.80,3.40,0.00,0.00,10.680,2.200,0,0.00,20.60,0.10,1.40,0.70,2019-08-03 07:00:00.000000,18.40,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce72757c0003,0.00,0.47,2.82,3.76,2.35,0.00,0.00,9.390,2.000,0,0.10,21.30,0.60,0.80,0.50,2019-08-03 11:00:00.000000,19.30,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce72757c0004,0.00,0.92,0.92,4.61,3.23,0.00,0.00,9.680,2.100,0,0.20,21.70,0.20,1.00,0.70,2019-08-03 12:00:00.000000,19.60,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce72757d0005,0.00,1.28,0.00,3.85,2.14,0.00,0.00,7.260,1.700,0,0.30,23.40,0.00,0.90,0.50,2019-08-03 13:00:00.000000,21.70,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce72757d0006,2.67,0.00,1.65,3.72,1.65,0.00,0.00,7.020,1.700,0.60,0.00,24.20,0.40,0.90,0.40,2019-08-03 16:00:00.000000,22.50,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce72757d0007,6.64,0.42,0.42,2.11,1.69,0.00,0.00,4.640,1.100,1.50,0.10,23.70,0.10,0.50,0.40,2019-08-03 17:00:00.000000,22.60,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce72757d0008,0.00,0.94,0.00,2.82,1.88,0.00,0.00,6.100,1.300,0,0.20,21.30,0.00,0.60,0.40,2019-08-03 18:00:00.000000,20.00,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce72757d0009,0.00,0.45,0.00,4.48,2.24,0.00,0.00,7.170,1.600,0,0.10,22.30,0.00,1.00,0.50,2019-08-03 19:00:00.000000,20.70,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce72757e000a,0.00,0.52,0.00,5.15,1.55,0.00,0.00,7.220,1.400,0,0.10,19.40,0.00,1.00,0.30,2019-08-03 21:00:00.000000,18.00,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce72757e000b,0.00,0.43,0.00,4.74,2.16,0.00,0.00,7.330,1.700,0,0.10,23.20,0.00,1.10,0.50,2019-08-03 22:00:00.000000,21.50,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce72757e000c,0.00,0.45,0.90,2.71,2.71,0.00,0.00,6.790,1.500,0,0.10,22.10,0.20,0.60,0.60,2019-08-03 23:00:00.000000,20.60,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce72757f000d,0.00,0.00,0.00,2.07,1.65,0.00,0.00,3.720,0.900,0,0.00,24.20,0.00,0.50,0.40,2019-08-04 00:00:00.000000,23.30,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce72757f000e,0.00,1.04,0.52,5.18,3.11,0.00,0.00,9.840,1.900,0,0.20,19.30,0.10,1.00,0.60,2019-08-04 01:00:00.000000,17.40,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce727580000f,3.27,0.60,0.00,4.22,3.01,0.00,0.00,7.830,1.300,0.50,0.10,16.60,0.00,0.70,0.50,2019-08-04 02:00:00.000000,15.30,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce7275830010,3.01,1.96,0.65,3.92,6.54,0.00,0.00,13.070,2.000,0.40,0.30,15.30,0.10,0.60,1.00,2019-08-04 03:00:00.000000,13.30,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce7275840011,0.00,0.00,0.48,3.38,1.93,0.00,0.00,5.800,1.200,0,0.00,20.70,0.10,0.70,0.40,2019-08-04 04:00:00.000000,19.50,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce7275840012,0.00,0.47,0.00,2.83,2.83,0.00,0.00,6.130,1.300,0,0.10,21.20,0.00,0.60,0.60,2019-08-04 05:00:00.000000,19.90,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
ff80808171ce71c50171ce7275840013,0.00,2.27,0.00,3.98,6.25,0.00,0.00,12.500,2.200,0,0.40,17.60,0.00,0.70,1.10,2019-08-03 20:00:00.000000,15.40,0.00,0.00,4,ff80808171ce71c50171ce7275710000,2,1
