id,w,p
1000,0,998.203
1001,0.1,998.588
1002,0.2,998.974
1003,0.3,999.36
1004,0.4,999.746
1005,0.5,1000.132
1006,0.6,1000.519
1007,0.7,1000.906
1008,0.8,1001.293
1009,0.9,1001.681
1010,1,1002.068
1011,1.1,1002.456
1012,1.2,1002.845
1013,1.3,1003.233
1014,1.4,1003.622
1015,1.5,1004.011
1016,1.6,1004.401
1017,1.7,1004.79
1018,1.8,1005.18
1019,1.9,1005.57
1020,2,1005.961
1021,2.1,1006.352
1022,2.2,1006.743
1023,2.3,1007.134
1024,2.4,1007.526
1025,2.5,1007.917
1026,2.6,1008.31
1027,2.7,1008.702
1028,2.8,1009.095
1029,2.9,1009.488
1030,3,1009.881
1031,3.1,1010.274
1032,3.2,1010.668
1033,3.3,1011.062
1034,3.4,1011.457
1035,3.5,1011.851
1036,3.6,1012.246
1037,3.7,1012.642
1038,3.8,1013.037
1039,3.9,1013.433
1040,4,1013.829
1041,4.1,1014.225
1042,4.2,1014.622
1043,4.3,1015.019
1044,4.4,1015.416
1045,4.5,1015.813
1046,4.6,1016.211
1047,4.7,1016.609
1048,4.8,1017.007
1049,4.9,1017.406
1050,5,1017.805
1051,5.1,1018.204
1052,5.2,1018.604
1053,5.3,1019.003
1054,5.4,1019.403
1055,5.5,1019.804
1056,5.6,1020.204
1057,5.7,1020.605
1058,5.8,1021.006
1059,5.9,1021.408
1060,6,1021.809
1061,6.1,1022.211
1062,6.2,1022.614
1063,6.3,1023.016
1064,6.4,1023.419
1065,6.5,1023.822
1066,6.6,1024.226
1067,6.7,1024.629
1068,6.8,1025.033
1069,6.9,1025.438
1070,7,1025.842
1071,7.1,1026.247
1072,7.2,1026.652
1073,7.3,1027.058
1074,7.4,1027.463
1075,7.5,1027.869
1076,7.6,1028.276
1077,7.7,1028.682
1078,7.8,1029.089
1079,7.9,1029.496
1080,8,1029.904
1081,8.1,1030.311
1082,8.2,1030.72
1083,8.3,1031.128
1084,8.4,1031.536
1085,8.5,1031.945
1086,8.6,1032.355
1087,8.7,1032.764
1088,8.8,1033.174
1089,8.9,1033.584
1090,9,1033.994
1091,9.1,1034.405
1092,9.2,1034.816
1093,9.3,1035.227
1094,9.4,1035.639
1095,9.5,1036.051
1096,9.6,1036.463
1097,9.7,1036.875
1098,9.8,1037.288
1099,9.9,1037.701
1100,10,1038.114
1101,10.1,1038.528
1102,10.2,1038.942
1103,10.3,1039.356
1104,10.4,1039.77
1105,10.5,1040.185
1106,10.6,1040.6
1107,10.7,1041.016
1108,10.8,1041.431
1109,10.9,1041.847
1110,11,1042.264
1111,11.1,1042.68
1112,11.2,1043.097
1113,11.3,1043.514
1114,11.4,1043.932
1115,11.5,1044.35
1116,11.6,1044.768
1117,11.7,1045.186
1118,11.8,1045.605
1119,11.9,1046.024
1120,12,1046.443
1121,12.1,1046.862
1122,12.2,1047.282
1123,12.3,1047.702
1124,12.4,1048.123
1125,12.5,1048.544
1126,12.6,1048.965
1127,12.7,1049.386
1128,12.8,1049.808
1129,12.9,1050.23
1130,13,1050.652
1131,13.1,1051.075
1132,13.2,1051.497
1133,13.3,1051.921
1134,13.4,1052.344
1135,13.5,1052.768
1136,13.6,1053.192
1137,13.7,1053.616
1138,13.8,1054.041
1139,13.9,1054.466
1140,14,1054.891
1141,14.1,1055.317
1142,14.2,1055.743
1143,14.3,1056.169
1144,14.4,1056.596
1145,14.5,1057.022
1146,14.6,1057.45
1147,14.7,1057.877
1148,14.8,1058.305
1149,14.9,1058.733
1150,15,1059.161
1151,15.1,1059.59
1152,15.2,1060.019
1153,15.3,1060.448
1154,15.4,1060.878
1155,15.5,1061.308
1156,15.6,1061.738
1157,15.7,1062.168
1158,15.8,1062.599
1159,15.9,1063.03
1160,16,1063.462
1161,16.1,1063.893
1162,16.2,1064.325
1163,16.3,1064.758
1164,16.4,1065.191
1165,16.5,1065.624
1166,16.6,1066.057
1167,16.7,1066.49
1168,16.8,1066.924
1169,16.9,1067.359
1170,17,1067.793
1171,17.1,1068.228
1172,17.2,1068.663
1173,17.3,1069.099
1174,17.4,1069.535
1175,17.5,1069.971
1176,17.6,1070.407
1177,17.7,1070.844
1178,17.8,1071.281
1179,17.9,1071.718
1180,18,1072.156
1181,18.1,1072.594
1182,18.2,1073.032
1183,18.3,1073.471
1184,18.4,1073.91
1185,18.5,1074.349
1186,18.6,1074.789
1187,18.7,1075.228
1188,18.8,1075.669
1189,18.9,1076.109
1190,19,1076.55
1191,19.1,1076.991
1192,19.2,1077.443
1193,19.3,1077.874
1194,19.4,1078.317
1195,19.5,1078.759
1196,19.6,1079.202
1197,19.7,1079.645
1198,19.8,1080.088
