id,descripcion,campo
001,"CAÑA/DIA","canaDia"
002,"AGUA MACERACION","aguaM"
003,"JUGO DILUIDO (BR)","jDiluidoBr"
004,"BAGAZO (CALCULADO)","bagazoC"
005,"BAGAZO (DIRECTO)","bagazoD"
006,"CACHAZA","cachaza"
007,"MIEL FINAL MELAZA","mielFM"
008,"AZUCAR BLANCA","azucarB"
009,"CAÑA NETA","canaNeta"
010,"JUGO NETO","jugoNeto"
011,"MELADURA","meladura"
012,"HOJA DE CAÑA","hojaCana"
013,"SACOS DISUELTOS","sacosD"
014,"BX J. CLARO","jClaroB"
015,"SALIDA EVAP I",""
016,"SALIDA EVAP II",""
017,"SALIDA EVAP III",""
018,"SALIDA EVAP IV",""
